time,method,mass,conservation_error,l2_vs_cn,linf_vs_cn,min_c,max_c,tv,tv_ratio,overshoot_rel,negative_depth_rel,extrema_count
71.2,CN,0.2504120210480111,0.0009999847454494992,0.0,0.0,0.2506626531754339,0.2506626965335491,7.779551930431339e-08,3.889790832346422e-08,0.0,0.0,12
71.3,CN,0.2504120210302755,0.0009999848162043112,0.0,0.0,0.25066267092188793,0.25066271421894876,7.770594245837259e-08,3.885311972930778e-08,0.0,0.0,12
71.4,CN,0.25041202104795907,0.0009999847456570049,0.0,0.0,0.25066265327914455,0.25066269651525064,7.761635373304543e-08,3.880832519543546e-08,0.0,0.0,12
71.5,CN,0.2504120210303087,0.0009999848160718795,0.0,0.0,0.25066267094017547,0.2506627141154341,7.752675762473515e-08,3.876352697005747e-08,0.0,0.0,12
71.60000000000001,CN,0.25041202104790694,0.0009999847458649536,0.0,0.0,0.2506626533823838,0.2506626964968949,7.74371512468619e-08,3.871872360987837e-08,0.0,0.0,12
71.7,CN,0.25041202103034127,0.000999984815941884,0.0,0.0,0.250662670958523,0.2506627140123928,7.73475335447138e-08,3.86739145875402e-08,0.0,0.0,12
71.8,CN,0.25041202104785576,0.0009999847460691374,0.0,0.0,0.25066265348515526,0.2506626964784835,7.725790818202682e-08,3.8629101734917956e-08,0.0,0.0,12
71.9,CN,0.25041202103037397,0.0009999848158114453,0.0,0.0,0.25066267097692163,0.2506627139098138,7.716827221670997e-08,3.858428358096051e-08,0.0,0.0,12
72.0,CN,0.2504120210478043,0.0009999847462744287,0.0,0.0,0.2506626535874613,0.25066269646001693,7.707863042272223e-08,3.853946251265648e-08,0.0,0.0,12
72.10000000000001,CN,0.2504120210304064,0.000999984815682114,0.0,0.0,0.25066267099537615,0.25066271380770005,7.698898613073268e-08,3.849464019534678e-08,0.0,0.0,12
72.2,CN,0.2504120210477534,0.0009999847464775052,0.0,0.0,0.2506626536893078,0.2506626964414993,7.689933390064851e-08,3.8449813908974594e-08,0.0,0.0,12
72.3,CN,0.2504120210304386,0.0009999848155536689,0.0,0.0,0.25066267101388523,0.2506627137060485,7.680967423207008e-08,3.8404983903341054e-08,0.0,0.0,12
72.4,CN,0.25041202104770244,0.0009999847466808033,0.0,0.0,0.2506626537906946,0.2506626964229288,7.672001822722763e-08,3.836015572958251e-08,0.0,0.0,12
72.5,CN,0.25041202103047133,0.0009999848154230088,0.0,0.0,0.25066267103244816,0.2506627136048566,7.66303591137607e-08,3.8315326001505794e-08,0.0,0.0,12
72.60000000000001,CN,0.25041202104765203,0.0009999847468818868,0.0,0.0,0.2506626538916294,0.25066269640431105,7.654070355300746e-08,3.8270498049792704e-08,0.0,0.0,12
72.7,CN,0.2504120210305035,0.0009999848152947848,0.0,0.0,0.25066267105106205,0.2506627135041196,7.645104271869485e-08,3.822566746128986e-08,0.0,0.0,12
72.8,CN,0.250412021047602,0.0009999847470814202,0.0,0.0,0.2506626539921084,0.25066269638564054,7.636138760203082e-08,3.818083973162222e-08,0.0,0.0,12
72.9,CN,0.2504120210305349,0.00099998481516944,0.0,0.0,0.2506626710697258,0.25066271340383445,7.627172760038547e-08,3.81360095594546e-08,0.0,0.0,12
