time,method,mass,conservation_error,l2_vs_cn,linf_vs_cn,min_c,max_c,tv,tv_ratio,overshoot_rel,negative_depth_rel,extrema_count
73.8,PINN Conservative,0.2506744506955149,4.69586910611401e-05,0.002200049939635742,0.0030551968481020153,0.2476074993610382,0.25348952412605286,0.013551115989685059,0.006775583891734158,0.0,0.0,9
73.9,PINN Conservative,0.25067618221044563,5.386644027764084e-05,0.0021963752834351057,0.0030523108576466784,0.24761036038398743,0.25347742438316345,0.013528048992156982,0.006764050348887881,0.0,0.0,11
74.0,PINN Conservative,0.25067788499593757,6.065957554848601e-05,0.0021927065911859036,0.0030488787370679393,0.2476138174533844,0.2534652054309845,0.013506889343261719,0.006753470484003053,0.0,0.0,11
74.10000000000001,PINN Conservative,0.2504319593012333,0.0009204425765480867,0.002189070347912359,0.003045754365385289,0.24761691689491272,0.25345292687416077,0.013484597206115723,0.006742324372828614,0.0,0.0,5
74.2,PINN Conservative,0.25068125623464604,7.410888004710755e-05,0.0021854613166281513,0.0030435324141561138,0.2476191222667694,0.25344088673591614,0.01346355676651001,0.006731804112816377,0.0,0.0,15
74.3,PINN Conservative,0.25068293112516427,8.079073040816694e-05,0.002181858310627989,0.0030412062593313527,0.24762150645256042,0.25342848896980286,0.01344233751296997,0.006721194445495254,0.0,0.0,13
74.4,PINN Conservative,0.2506845859289172,8.739244612247993e-05,0.002178287915822891,0.0030391217673964577,0.2476235330104828,0.2534162104129791,0.013418972492218018,0.0067095118904675006,0.0,0.0,7
74.5,PINN Conservative,0.25068621867895147,9.39061801769882e-05,0.002174732160237386,0.0030371530467072083,0.24762555956840515,0.2534039318561554,0.013397276401519775,0.006698663803656015,0.0,0.0,9
74.60000000000001,PINN Conservative,0.2506878414154055,0.00010037996580260949,0.0021711915125496896,0.0030347707248490896,0.2476278841495514,0.25339171290397644,0.013375401496887207,0.006687726309535643,0.0,0.0,13
74.7,PINN Conservative,0.25068944674730326,0.0001067843172535749,0.00216766263556425,0.003032444183417471,0.2476302683353424,0.25337979197502136,0.013351976871490479,0.006676013952071595,0.0,0.0,9
74.8,PINN Conservative,0.25069104397296926,0.00011315632949973922,0.002164168640135422,0.003030181263302567,0.2476324737071991,0.2533676326274872,0.013331949710845947,0.006666000333476378,0.0,0.0,7
74.9,PINN Conservative,0.2506926339864733,0.00011949956936550172,0.002160684851467957,0.0030280333437757156,0.2476346790790558,0.25335535407066345,0.013311147689819336,0.006655599283209321,0.0,0.0,9
75.0,PINN Conservative,0.25069419354200384,0.00012572129942578253,0.0021572287903712014,0.003025412987399223,0.24763724207878113,0.2533434331417084,0.013288438320159912,0.006644244554980815,0.0,0.0,13
75.10000000000001,PINN Conservative,0.2506957433819773,0.0001319042699982737,0.0021537892089875956,0.0030232052720455815,0.2476395070552826,0.25333139300346375,0.013267338275909424,0.006633694492532283,0.0,0.0,9
